
"TA2ID;English;Latin;Français;Español;Portugues;Italiano;Parsi"
"30;Internal;Internus;Interne;Interno;Interno;Interno;درونی."
"31;Luminal;Luminalis;Luminal;Luminal;Luminal;Luminale;گذرگاهی-ممری"
"32;Superficial;Superficialis;Superficiel;Superficial;Superficial;Superficiale;رویی،پوسته ای"
"33;Deep;Profundus;Profond;Profundo;Profundo;Profondo;ژرفی- ژرف"
"34;Proximal;Proximalis;Proximal;Proximal;Proximal;Prossimale;نزدیک."
"35;Distal;Distalis;Distal;Distal;Distal;Distale;دور."
"36;Central;Centralis;Central;Central;Central;Centrale;مرکز"
"37;Peripheral;Periphericus;Périphérique;Periferico;Periférico;Periferico;پیرامونی"
"38;Radial;Radialis;Radial;Radial;Radial;Radiale;زند زبرینی"
"39;Ulnar;Ulnaris;Ulnaire;Ulnar;Ulnar;Ulnare;زند زیرین @"
"40;Fibular;Fibularis;Fibulaire;Fibular;Fibular;Fibulare;نازک نی@"
"41;Tibial;Tibialis;Tibial;Tibial;Tibial;Tibiale;درشت نی@"
"42;Palmar;Palmaris;Palmaire;Palmar;Palmar;Palmare;کف دستی"
"43;Plantar;Plantaris;Plantaire;Plantar;Plantar;Plantare;کف پایی"
"44;Flexor;Flexorius;Fléchisseur;Flexor;Flexor;Flessore;خم کننده"
"45;Extensor;Extensorius;Extenseur;Extensor;Extensor;Estensore;باز کننده"
"46;Reference planes;Plana referentiae;Plans de référence;Planos de referencia;Planos de referência;Piani di riferimento;پهنه های سرچشمه"
"47;Longitudinal planes;Plana longitudinalia;Coupes longitudinales;Planos longitudinales;Planos longitudinais;Piani longitudinali;پهنه های تاری"
"48;Coronal planes;Plana coronalia;Coupes frontales;Planos coronales;Planos coronais;Piani coronali;پهنه های دیهیمی"
"49;Sagittal planes;Plana sagittalia;Coupes sagittales;Planos sagitales;Planos sagitais;Piani sagittali;پهنه های پیکانی"
"50;Median plane;Planum medianum;Plan médian;Plano mediano;Plano mediano;Piano mediano;پهنه میانی"
"51;Paramedian plane;Planum paramedianum;Plan paramédian;Plano paramediano;Plano paramediano;Piano paramediano;پهنه کنار میانی"
"52;Transverse planes;Plana transversa;Plans transverses;Planos transversos;Planos transversais;Piani trasversali;پهنه های پودی"
"53;Transpyloric plane;Planum transpyloricum;Plan transpylorique;Plano transpilórico;Plano transpilórico;Piano transpilorico;پهنه ترا داوزدهه"
"54;Subcostal plane;Planum subcostale;Plan subcostal;Plano subcostal;Plano subcostal;Piano subcostale;پهنه زیر دنده ای"
"55;Transumbilical plane;Planum transumbilicalis;Plan transombillical;Plano transumbilical;Plano transumbilical;Piano transombelicale;پهنه ترانافی"
"56;Supracristal plane;Planum supracristale;Plan de la crête iliaque;Plano supracrestal;Plano supracristal;Piano sopracristale;پهنه زبر خاری"
"57;Intertubercular plane;Planum intertuberculare;Plan intertuberculaire;Plano intertubercular;Plano intertubercular;Piano intertubercolare;پهنه بین تکمه ای"
"58;Interspinous plane;Planum interspinale;Plan interépineux;Plano interespinoso;Plano interespinhoso;Piano interspinoso;پهنه بین خاری"
"59;Reference lines;Lineae referentiae;Lignes de référence;Líneas de referencia;Linhas de referência;Linee di riferimento;دبیره های سرچشمه"
"60;Anterior median line;Linea mediana anterior;Ligne antérieure médiane;Línea mediana anterior;Linha mediana anterior;Linea mediana anteriore;دبیره میانی پیشی"
"61;Sternal line;Linea sternalis;Ligne sternale;Línea esternal;Linha esternal;Linea sternale;دبیره جناغی"
"62;Parasternal line;Linea parasternalis;Ligne parasternale;Línea paraesternal;Linha paraesternal;Linea parasternale;دبیره کنار جناقی"
"63;Midclavicular line;Linea medioclavicularis;Ligne médioclaviculaire;Línea medioclavicular;Linha hemiclavicular;Linea emiclaveare;دبیره چنبری میانی"
"64;Mamillary line;Linea mamillaris;Ligne mamelonnaire;Línea mamilar;Linha mamilar;Linea mammaria;دبیره پستانی"
"65;Anterior axillary line;Linea axillaris anterior;Ligne axillaire antérieure;Línea axilar anterior;Linha axilar anterior;Linea ascellare anteriore;دبیره بغلی پیشی"
"66;Midaxillary line;Linea axillaris media;Ligne axillaire moyenne;Línea axilar media;Linha axilar média;Linea medioascellare;دبیره بغلی میانی"
"67;Posterior axillary line;Linea axillaris posterior;Ligne axillaire postérieure;Línea axilar posterior;Linha axilar posterior;Linea ascellare posteriore;دبیره بغلی پسی"
"68;Scapular line;Linea scapularis;Ligne scapulaire;Línea escapular;Linha escapular;Linea scapolare;دبیره شانه ای"
"69;Paravertebral line;Linea paravertebralis;Ligne paravertébrale;Línea paravertebral;Linha paravertebral;Linea paravertebrale;دبیره کنارمهره ای"
"70;Posterior median line;Linea mediana posterior;Ligne postérieure médiane;Línea mediana posterior;Linha mediana posterior;Linea mediana posteriore;دبیره میانی پسی"
"71;Human body positions;Positiones corporis humani;Positions du corps humain;Posiciones del cuerpo humano;Posições do corpo humano;Posizioni del corpo umano;جایگاه های بدن ادم"
"72;Anatomical position;Positio anatomica;Position anatomique;Posición anatomica;Posição anatômica;Posizione anatomica;جایگاهای پیکرشناسی"
"73;Comparative anatomical position;Positio anatomica comparativa;Position anatomique comparative;Posición anatómica comparativa;Posição anatômica comparativa;Posizione anatomica comparata;جایگاه پیکرشناسی سنجشی"
"74;Prone position;Positio prona;Position ventrale;Posición prona;Posição prona;Posizione prona;جایگاه دمر"
"75;Supine position;Positio supina;Position dorsale;Posición supina;Posição supina;Posizione supina;جایگاه به پشت"
"76;Movements;Motus;Mouvements;Movimientos;Movimentos;Movimenti;جنبش ها، پویش ها"
"77;Abduction;Abductio;Abduction;Abducción;Abdução;Abduzione;دور کردن"
"78;Adduction;Adductio;Adduction;Aducción;Adução;Adduzione;نزدیک کردن"
"79;Lateral rotation;Rotatio lateralis;Rotation latérale;Rotación lateral;Rotação externa;Rotazione laterale;چرخش بیرونی"
"80;Medial rotation;Rotatio medialis;Rotation interne;Rotación medial;Rotação interna;Rotazione mediale;چرخش درونی"
"81;Circumduction;Circumductio;Circumduction;Circunducción;Circundução;Circonduzione;چرخش پیرامونی"
"82;Flexion;Flexio;Flexion;Flexión;Flexão;Flessione;خمش خم شدن"
"83;Extension;Extensio;Extension;Extensión;Extensão;Estensione;باز شدن"
"84;Pronation;Pronatio;Pronation;Pronación;Pronação;Pronazione;دمر"
"85;Supination;Supinatio;Supination;Supinación;Supinação;Supinazione;تاغباز"
"86;Opposition;Oppositio;Opposition;Oposición;Oposição;Opposizione;روبرویی، ستیزی"
"87;Reposition;Repositio;Reposition;Reposición;Reposição;Riposizione;برگشت به جایگاه"
"88;Plantar flexion;Plantiflexio;Flexion plantaire;Plantiflexión;Flexão plantar;Flessione plantare;خمش کف پایی"
"89;Dorsiflexion;Dorsiflexio;Flexion dorsale;Dorsiflexión;Dorsiflexão;Dorsiflessione;خمش پشت پایی"
"90;Elevation;Elevatio;Elévation;Elevación;Elevação;Elevazione;بالارفتن"
"91;Depression;Depressio;Abaissement;Depresión;Depressão;Depressione;پایین امدن"
"92;Eversion;Eversio;Eversion;Eversión;Eversão;Eversione;رو به بیرون"
"93;Inversion;Inversio;Inversion;Inversión;Inversão;Inversione;رو به درون"
"94;Protraction;Protractio;Protraction;Protracción;Protração;Protrazione;رو به پیش رفتن"
"95;Retraction;Retractio;Rétraction;Retracción;Retração;Retrazione;رو به پس رفتن"
"96;Human body;Corpus humanum;Corps humain;Cuerpo humano;Corpo humano;Corpo umano;پیکر ادم"
"97;Parts of human body;Partes corporis humani;Parties du corps humain;Partes del cuerpo humano;Partes do corpo humano;Parti del corpo umano;پاره های پیکر ادم"
"98;Head;Caput;Tête;Cabeza;Cabeça;Capo;سر"
"99;Neurocranial part of head;Pars neurocranialis capitis;Neurocrâne de la tête;Parte neurocraneal de la cabeza;Parte neurocraniana da cabeça;Parte neurocranica della testa;پاره های وابسته به پی کاسه سر"
"100;Cranial cavity;Cavitas cranii;Cavité crânienne;Cavidad craneal;Cavidade craniana;Cavità cranica;چاله های  درون کاسه سری"
"101;Forehead;Frons;Front;Frente;Testa;Fronte;پیشانی"
"102;Occiput;Occiput;Occiput;Occipucio;Occipício;Occipite;پس سر-پس سری."
"103;Temple;Tempus;Tempe;Sien;Têmpora;Tempia;گیجگاه"
"104;Auricle;Auricula;Pavillon auriculaire;Aurícula;Aurícula;Padiglione auricolare;لاله گوش"
"105;Lobule of auricle;Lobulus auriculae;Lobe de l'oreille;Lóbulo auricular;Lóbulo da orelha;Lobulo del padiglione auricolare;تکه های لاله گوش"
"106;Helix;Helix;Hélix;Hélix;Hélice;Elice;هلزون"
"107;Crus of helix;Crus helicis;Racine de l'hélix;Raíz del Hélix;Cruz da hélice;Branca dell'elice;پایه هلزون"
"108;Antihelix;Antihelix;Anthélix;Antihélix;Antélice;Antelice;روبروی هلزون"
"109;Crura of antihelix;Crura antihelicis;Queue de l'anthélix;Cola del antihélix;Cauda da antélice;Branche dell'antelice;پایه روبروی هلزون"
"110;Antitragus;Antitragus;Antitragus;Antitrago;Antitragus;Antitrago;پاد زبانه"
"111;Tragus;Tragus;Tragus;Trago;Trágus;Trago;زبانه"
"112;Face;Facies;Face;Cara;Cara;Faccia;رویه ،رو، چهره."
"113;Eye (part of head);Oculus (part of head);Oeil (partie de la tête);Ojo (parte de la cabeza);Olho (parte da cabeça);Occhio (parte della testa);چشم@"
"114;Upper eyelid;Palpebra superior;Paupière supérieure;Párpado superior;Pálpebra superior;Palpebra superiore;پلک بالایی"
"115;Lower eyelid;Palpebra inferior;Paupière inférieure;Párpado inferior;Pálpebra inferior;Palpebra inferiore;پلک پایینی"
"116;Cheek;Bucca;Joue;Buca;Bochecha;Guancia;گونه"
"117;External nose;Nasus externus;Nez externe;Nariz externa;Nariz externo;Naso esterno;بینی بیرونی"
"118;Ala of nose;Ala nasi;Aile du nez;Ala de la nariz;Asa do nariz;Ala del naso;پره بینی"
"119;Mouth;Stoma;Bouche;Boca;Boca;Bocca;دهان"
"120;Upper lip;Labium superius oris;Lèvre supérieure;Labio superior;Lábio superior;Labbro superiore;لب بالا"
"121;Lower lip;Labium inferius oris;Lèvre inférieure;Labio inferior;Lábio inferior;Labbro inferiore;لب پایین"
"122;Chin;Mentum;Menton;Mentón;Queixo;Mento;چانه"
"123;Neck;Collum;Cou;Cuello;Pescoço;Collo;گردن"
"124;Trunk;Truncus;Tronc;Tronco;Tronco;Tronco;تنه"
"125;Thorax;Thorax;Thorax;Tórax;Tórax;Torace;گنجه(کابوک) سینه"
"126;Thoracic cavity;Cavitas thoracis;Cavité thoracique;Cavidad torácica;Cavidade torácica;Cavità toracica;کاواکی سینه"
"127;Abdomen;Abdomen;Abdomen;Abdomen;Abdômen;Addome;شکم"
"128;Abdominal cavity;Cavitas abdominis;Cavité abdominale;Cavidad abdominal;Cavidade abdominal;Cavità addominale;مغاک شکم"
"129;Pelvis;Pelvis;Pelvis;Pelvis;Pélvis;Pelvi;لگن@"
"130;Pelvic cavity;Cavitas pelvis;Cavité pelvienne;Cavidad pélvica;Cavidade pélvica;Cavità pelvica;کاواکی لگن"
"131;Perineum;Perineum;Périnée;Perineo;Períneo;Perineo;میان دوراه"
"132;Anterior trunk;Pars anterior trunci;Tronc antérieur;Tronco anterior;Tronco anterior;Tronco anteriore;تنه پیشی"
"133;Anterolateral thoracic wall;Paries anterolateralis thoracis;Paroi thoracique antérolatérale;Pared torácica anterolateral;Parede torácica ântero-lateral;Parete toracica anterolaterale;دیواره پیشی بیرونی سینه"
"134;Anterolateral abdominal wall;Paries anterolateralis abdominis;Paroi abdominale antérolatérale;Pared abdominal anterolateral;Parede abdominal ântero-lateral;Parete addominale anterolaterale;دیواره پیشی بیرونی شکم"
"135;Back;Dorsum;Dos;Dorso;Dorso;Dorso;پشت"
"136;Back of thorax;Dorsum thoracis;Arrière du thorax;Parte posterior del tórax;Parte posterior do tórax;Parte posteriore del torace;پشت سینه"
"137;Back of abdomen;Dorsum abdominis;Arrière de l'abdomen;Parte posterior del abdomen;Parte posterior do abdômen;Parte posteriore dell'addome;پشت شکم"
"138;Upper limb;Membrum superius;Membre supérieur;Miembro superior;Membro superior;Arto superiore;اندام بالایی"
"139;Shoulder;Omos;Epaule;Hombro;Ombro;Spalla;شانه"
"140;Axilla;Axilla;Aisselle;Axila;Axila;Ascella;بغل ، زیربغل"
"141;Anterior axillary fold;Plica axillaris anterior;Pli axillaire antérieur;Pliegue axilar anterior;Dobra axilar anterior;Plica ascellare anteriore;چین بغلی پیشی"
"142;Posterior axillary fold;Plica axillaris posterior;Pli axillaire postérieur;Pliegue axilar posterior;Dobra axilar posterior;Plica ascellare posteriore;چین بغلی پسی"
"143;Free part of upper limb;Pars libera membri superioris;Partie libre du membre supérieur;Parte libre del miembro superior;Parte livre do membro superior;Parte libera dell'arto superiore;بخش ازاد اندام بالایی"
"144;Arm;Brachium;Bras;Brazo;Braço;Braccio;بازو"
"145;Elbow;Cubitus;Coude;Codo;Cotovelo;Gomito;ارنج"
"146;Forearm;Antebrachium;Avant-bras;Antebrazo;Antebraço;Avambraccio;أرش، پیش دست"
"147;Wrist;Carpus;Poignet;Carpo;Punho;Polso;مچ"
"148;Hand;Manus;Main;Mano;Mão;Mano;دست"
"149;Metacarpus;Metacarpus;Métacarpe;Metacarpo;Metacarpo;Metacarpo;کف دست"
"150;Digits of hand;Digiti manus;Doigts de la main;Dedos de la mano;Dedos da mão;Dita della mano;انگشتان"
"151;Thumb;Pollex;Pouce;Pulgar;Polegar;Pollice;شست"
"152;Index finger;Index;Index;Índice;Dedo indicador;Dito indice;انگشت نشان"
"153;Middle finger;Digitus medius manus;Majeur;Dedo medio;Dedo do meio;Dito medio;انگشت میانی"
"154;Ring finger;Digitus anularis;Annulaire;Anular;Dedo anelar;Dito anulare;انگشت حلقه"
"155;Little finger;Digitus minimus manus;Auriculaire;Meñique;Dedo mínimo da mão;Dito mignolo;انگشت کوچک"
"156;Lower limb;Membrum inferius;Membre inférieur;Miembro inferior;Membro inferior;Arto inferiore;اتدام پایینی"
"157;Buttock;Natis;Fesse;Nalga;Nádega;Natica;باسن"
"158;Hip;Coxa;Hanche;Cadera;Quadril;Anca;لگن"
"159;Free part of lower limb;Pars libera membri inferioris;Partie libre du membre inférieur;Parte libre del miembro inferior;Parte livre do membro inferior;Parte libera dell'arto inferiore;بخش ازاد اندام پایینی"
"160;Thigh;Femur;Cuisse;Muslo;Coxa;Coscia;ران"
"161;Knee;Genu;Genou;Rodilla;Joelho;Ginocchio;زانو"
"162;Posterior part of knee;Poples;Partie postérieure du genou;Parte posterior de la rodilla;Parte posterior do joelho;Parte posteriore del ginocchio;بخش پشتی زانو"
"163;Leg;Crus;Jambe;Pierna;Perna;Gamba;ساگ پا"
"164;Calf;Sura;Mollet;Pantorrilla;Panturrilha (barriga da perna);Polpaccio;ساگ "
"165;Ankle;Talus;Cheville;Tarso;Tornozelo;Caviglia;مچ پا"
"166;Foot;Pes;Pied;Pie;Pé;Piede;پا"
"167;Heel;Calx;Talon;Talón;Calcanhar;Calcagno;پاشته"
"168;Midfoot;Pars media pedis;Mi-pied;Mediopie;Medio pé;Tarso;بخش میانه پا"
"169;Metatarsus;Metatarsus;Métatarse;Metatarso;Metatarso;Metatarso;کف پا"
"170;Digits of foot;Digiti pedis;Doigts de pied;Dedos del pie;Dedos do pé;Dita del piede;انگشتان پا"
"171;Great toe;Hallux pedis;Gros orteil;Hallux;Hálux;Alluce;شست پا"
"172;Second toe;Digitus secundus pedis;Deuxième orteil;Segundo dedo;Segundo dedo do pé;Secondo dito del piede;انگشت دوم پا"
"173;Third toe;Digitus tertius pedis;Troisième orteil;Tercer dedo;Terceiro dedo do pé;Terzo dito del piede;انگشت سوم پا"
"174;Fourth toe;Digitus quartus pedis;Quatrième orteil;Cuarto dedo;Quarto dedo do pé;Quarto dito del piede;انگشت چهارم پا"
"175;Little toe;Digitus minimus pedis;Petit orteil;Dedo mínimo;Dedo mínimo do pé;Quinto dito del piede;انگشت کوچک یا پنجم پا"
"176;Regions of human body;Regiones corporis humani;Régions du corps humain;Regiones del cuerpo humano;Regiões do corpo humano;Regioni del corpo umano;بخش های پیکر ادم"
"177;Regions of head;Regiones capitis;Régions de la tête;Regiones de la cabeza;Regiões da cabeça;Regioni della testa;بخش های سر"
"178;Regions of epicranium;Regiones epicranii;Régions de l'épicrâne;Regiones del epicráneo;Regiões de epicrânio;Regioni dell'epicranio;بخش های روی کاسه سر"
"179;Vertex;Vertex;Vertex;Vértice;Vértice;Vertice;قله کاسه سر"
"180;Frontal region;Regio frontalis;Région frontale;Región frontal;Região frontal;Regione frontale;بخش پیشانی"
"181;Eyebrow;Supercilium;Sourcil;Supercilio;Sobrancelha;Sopracciglio;ابرو"
"182;Parietal region;Regio parietalis;Région pariétale;Región parietal;Região parietal;Regione parietale;بخش اهیانه"
"183;Occipital region;Regio occipitalis;Région occipitale;Región occipital;Região occipital;Regione occipitale;بخش پس سر"
"184;Temporal region;Regio temporalis;Région temporale;Región temporal;Região temporal;Regione temporale;بخش گیجگاهی"
"185;Mastoid region;Regio mastoidea;Région mastoïdienne;Región mastoidea;Região mastóide;Regione mastoidea;بخش پستانی@"
"186;Auricular region;Regio auricularis;Région auriculaire;Región auricular;Região auricular;Regione auricolare;بخش گوشی"
"187;Triangular fossa;Fossa triangularis;Fosse triangulaire;Fosa triangular;Fossa triangular;Fossa triangolare;چاله سه گوش@"
"188;Scapha;Scapha;Scapha;Escafa;Escafa;Fossa scafoidea;ناوی"
"189;Concha of auricle;Concha auriculae;Conque de l'auricule;Concha de la oreja;Concha de orelha;Conca del padiglione auricolare;نیم گرد گوش"
"190;Cymba conchae;Cymba conchae;Cymba conchae;Cymba conchal;Concha da orelha parte superior;Navicella della conca;قایق نیم گرد"
"191;Cavity of concha;Cavitas conchae;Cavité de la conque;Cavidad de la concha;Cavidade da concha;Cavità della conca;چاله نیم گرد"
"192;Anterior notch of auricle;Incisura anterior auriculae;Incisure antérieure de l'auricule;Incisura anterior de la oreja;Incisura anterior da orelha;Incisura anteriore del padiglione auricolare;بریدگی پیشی گوش"
"193;Intertragic incisure;Incisura intertragica;Incisure intertragique;Incisura intertrágica;Incisura intertrágica;Incisura intertragica;بریدگی بین زبانه ای"
"194;Auricular tubercle;Tuberculum auriculae;Tubercule de l'auricule;Tubérculo auricular;Tubérculo auricular;Tubercolo auricolare;تکمه گوشی"
"195;Apex of auricle;Apex auriculae;Apex de l'auricule;Ápice de la oreja;Ápice da orelha;Apice del padiglione auricolare;نوک ، بالای گوش"
"196;Posterior auricular groove;Sulcus posterior auriculae;Sillon postérieur de l'auricule;Surco auricular posterior;Sulco auricular posterior;Solco posteriore del padiglione;ناودان پسی گوش"
"197;(Supratragic tubercle);(Tuberculum supratragicum);(Tubercule supratragique);(Tubérculo supratrágico);(Tubérculo supratrágico);(Tubercolo sopratragico);تکمه بالای زبانه ای"
"198;Fossa antihelica;Fossa antihelica;Fosse de l'anthélix;Fosa del antehélix;Fossa anti-hélica;Fossa dell'antelice;چاله روبروی هلزون"
"199;Eminentia conchae;Eminentia conchae;Eminence de la conque;Eminencia conchal;Eminência da concha;Eminenza della conca;برامدگی نیم گرد"
"200;Eminentia scaphae;Eminentia scaphae;Eminence scaphoïde;Eminencia escafoidea;Eminência da escafa;Eminenza della fossa scafoidea;برامدگی ناوی"
"201;Eminentia fossae triangularis;Eminentia fossae triangularis;Eminence de la fosse triangulaire;Eminencia de la fosa triangular;Eminentia da fossa triangular;Eminenza della fossa triangolare;براندگی چاله سه کوش"
"202;Regions of face;Regiones faciei;Régions de la face;Regiones de la cara;Regiões da face;Regioni del viso;بخش های صورت"
"203;Orbital region;Regio orbitalis;Région orbitale;Región orbital;Região orbital;Regione orbitale;بخش چشمی"
"204;Suprapalpebral sulcus;Sulcus suprapalpebralis;Sillon suprapalpébral;Surco suprapalpebral;Sulco suprapalpebral;Solco soprapalpebrale;شیار بالای پلکی"
"205;Palpebral fissure;Rima palpebrarum;Fente palpébrale;Fisura palpebral;Fissura palpebral;Rima palpebrale;شکاف پلکی"
"206;Lateral palpebral commissure;Commissura lateralis palpebrarum;Commissure latérale des paupières;Comisura palpebral lateral;Comissura palpebral lateral;Commissura palpebrale laterale;درز پلکی بیرونی"
"207;Medial palpebral commissure;Commissura medialis palpebrarum;Commissure médiale des paupières;Comisura palpebral medial;Comissura palpebral medial;Commissura palpebrale mediale;درز پلکی درونی"
"208;Lateral angle of eye;Angulus lateralis oculi;Angle latéral de l'oeil;Ángulo lateral del ojo;Ângulo lateral do olho;Angolo laterale dell'occhio;گوشه بیرونی چشم"
"209;Medial angle of eye;Angulus medialis oculi;Anglé médial de l'oeil;Ángulo medial del ojo;Ângulo medial do olho;Angolo mediale dell'occhio;گوشه درونی چشم"
"210;Infrapalpebral sulcus;Sulcus infrapalpebralis;Sillon infrapalpébral;Surco infrapalpebral;Sulco infrapalpebral;Solco infrapalpebrale;شیارزیر پلکی"
"211;Palpebronasal fold;Plica palpebronasalis;Pli palpébronasal;Pliegue palpebronasal;Prega palpebronasal;Piega palpebronasale;چین پلکی بینی"
"212;Infra-orbital region;Regio infraorbitalis;Région infra-orbitaire;Región infraorbitaria;Região infra-orbital;Regione infraorbitale;بخش زیر چشمی"
"213;Buccal region;Regio buccalis;Région buccale;Región bucal;Região bucal;Regione buccale;بخش لپی"
"214;Parotideomasseteric region;Regio parotideomasseterica;Région parotidomassétérique;Región parotidomasseterica;Região parotideomasseterica;Regione parotideomasseterica;بخش بناگوشی جونده ای"
"215;Zygomatic region;Regio zygomatica;Région zygomatique;Región cigomática;Região zigomática;Regione zigomatica;بخش گونه ای"
"216;Nasal region;Regio nasalis;Région nasale;Región nasal;Região nasal;Regione nasale;بخش بینی"
"217;Root of nose;Radix nasi;Racine du nez;Raíz de la nariz;Raiz do nariz;Radice del naso;ریشه بینی"
"218;Dorsum of nose;Dorsum nasi;Dos du nez;Dorso de la nariz;Dorso do nariz;Dorso del naso;پشت بینی"
"219;Apex of nose;Apex nasi;Bout du nez;Vértice de la nariz;Ápice do nariz;Apice del naso;نوک بینی"
"220;Nasolabial sulcus;Sulcus nasolabialis;Sillon nasolabial;Surco nasolabial;Sulco nasolabial;Solco nasolabiale;شیار بینی لبی"
"221;Oral region;Regio oralis;Région orale;Región oral;Região oral;Regione orale;بخش دهانی"
"222;Philtrum;Philtrum;Philtrum;Philtrum;Filtro;Filtro;بوسه گاه"
"223;Tubercle of upper lip;Tuberculum labii superioris;Tubercule de la lèvre supérieure;Tubérculo del labio superior;Tubérculo do lábio superior;Tubercolo del labbro superiore;برامدگی لب بالا"
"224;Labial commissure;Commissura labiorum oris;Commissure labiale;Comisura labial;Comissura labial;Commessura labiale;درز لبی"
"225;Angle of mouth;Angulus oris;Angle de la bouche;Ángulo de la boca;Ângulo da boca;Angolo della bocca;گوشه دهان"
"226;Mentolabial sulcus;Sulcus mentolabialis;Sillon mentolabial;Surco mentonlabial;Sulco mentolabial;Solco mentolabiale;شیارچانه ای لبی"
"227;Mental region;Regio mentalis;Région mentonnière;Región mental;Região mental;Regione mentale;بخش چانه"
"228;Regions of neck;Regiones colli;Régions du cou;Regiones del cuello;Regiões do pescoço;Regioni del collo;بخش های گردن"
"229;Anterior region of neck;Regio anterior colli;Région antérieure du cou;Región anterior del cuello;Região anterior do pescoço;Regione anteriore del collo;بخش پیشی گردن"
"230;Anterior triangle of neck;Trigonum anterius colli;Trigone cervical antérieur;Trígono cervical anterior;Triângulo anterior do pescoço;Triangolo anteriore del collo;سه گوش پیشی گردن"
"231;Suprahyoid region;Regio suprahyoidea;Région suprahyoïdienne;Región suprahioidea;Região supra-hióidea;Regione sopraioidea;بخش بالای لامی"
"232;Submandibular triangle;Trigonum submandibulare;Trigone submandibulaire;Trígono submandibular;Triângulo submandibular;Triangolo sottomandibolare;سه گوش آرواره پایینی"
"233;Submental triangle;Trigonum submentale;Trigone submentonnier;Trígono submental;Triângulo submentoniano;Triangolo submentale;سه گوش زیر چانه"
"234;Infrahyoid region;Regio infrahyoidea;Région infrahyoïdienne;Región infrahioidea;Região infra-hióidea;Regione infraioidea;بخش زیر لامی"
"235;Carotid triangle;Trigonum caroticum;Tigone carotidien;Trígono carotídeo;Triângulo carotídeo;Triangolo carotideo;سه گوش رگ خواب"
"236;Muscular triangle;Trigonum musculare;Tigone musculaire;Trígono muscular;Triângulo muscular;Triangolo muscolare;سه گوش ماهیچه ای"
"237;Sternocleidomastoid region;Regio sternocleidomastoidea;Région sternocléïdomastoïdienne;Región esternocleidomastoidea;Região do esternocleidomastóideo;Regione sternocleidomastoidea;بخش جناغی چنبری پستانی"
"238;Lesser supraclavicular fossa;Fossa supraclavicularis minor;Petite fosse supraclaviculaire;Fosa supraclavicular menor;Fossa supraclavicular menor;Fossa sopraclavicolare minore;چاله بالای چنبری کوچک تر"
"239;Lateral region of neck;Regio lateralis colli;Région latérale du cou;Región lateral del cuello;Região lateral do pescoço;Regione laterale del collo;بخش بیرونی گردن"
"240;Greater supraclavicular fossa;Fossa supraclavicularis major;Grande fosse supraclaviculaire;Fosa supraclavicular mayor;Maior fossa supraclavicular;Fossa sopraclavicolare maggiore;چاله بالای چنبری بزرگتر"
"241;Omoclavicular triangle;Trigonum omoclaviculare;Triangle omo-claviculaire;Trígono omoclavicular;Triângulo omoclavicular;Triangolo omoclavicolare;سه گوش شانه ای چنبری"
