Item ID,Component,Description,Quantity,Unit Price,Supplier,Notes,Voltage,Current Max,Status
U002,Oscilloscope,Digital storage scope,1,$350.00,Rigol,Advanced debugging,NA,NA,VERIFIED
U003,Logic Analyzer,8-channel USB analyzer,1,$15.00,Saleae,Signal analysis,NA,NA,VERIFIED
U004,Fume Extractor,Desktop air filtration,1,$120.00,Hakko,Safety for resin work,NA,NA,VERIFIED
U005,Hot Plate,Temperature controlled,1,$80.00,Amazon,SMA heat treatment,NA,NA,VERIFIED
U006,Emergency Stop Button,25mm NC momentary,1,$12.00,Digi-Key,Safety cutoff,NA,5A,ADDED - SAFETY
U007,Battery Holder,18650 single with wires,2,$4.00,Amazon,Secure battery mounting,NA,5A,ADDED
U008,Enclosure,Waterproof project box 150x100x60mm,1,$18.00,Amazon,Electronics protection,NA,NA,ADDED
,,,,,,,
NOTES,,,,,,,,
"Voltage mismatch fixed: Buck converter replaced with boost converter (3.7V→5V)",,,,,,,,
"Motor driver changed: L298N replaced with TB6612FNG (higher efficiency, lower voltage drop)",,,,,,,,
"SMA wire specified: Flexinol 0.2mm 70°C requiring 400-450mA (not 1.5A)",,,,,,,,
"Battery upgraded: 2000mAh → 3000mAh for ~72 min runtime (was ~48 min)",,,,,,,,
"Safety components added: Fuse, BMS, diodes, capacitors, heat sinks",,,,,,,,
"Pump voltage corrected: 12V pumps replaced with 3.7V pumps (direct battery operation)",,,,,,,,
"Current sensors reduced: 4 → 2 due to I2C address limitations",,,,,,,,
"Total cost increase: +$425 minimum (+20% from original estimate)",,,,,,,,
